train_regime,test_regime,variant,event,rmse,mae,n
2019,2017,treatment,non_event,71.90014208902019,52.528849209375636,4917
2019,2018,control,hss_event,71.3922609973232,56.14698449342811,3251
2019,2018,control,non_event,58.21082157731858,46.19823655374125,5509
2019,2018,treatment,hss_event,73.87897593231527,58.09986569073999,3251
2019,2018,treatment,non_event,55.695779391162574,42.844702864151984,5509
2019,2020,control,hss_event,82.0752330280794,58.625909124556344,2998
2019,2020,control,non_event,77.75553227730089,71.07782819466405,5786
2019,2020,treatment,hss_event,85.68564353265471,61.882162001229986,2998
2019,2020,treatment,non_event,74.50323457582104,67.50043637077577,5786
2020,2010,control,hss_event,106.1191664386959,84.60319954885563,1775
2020,2010,control,non_event,75.71604757294796,66.46213109959311,3361
2020,2010,treatment,hss_event,109.91222378950802,87.13632697306888,1775
2020,2010,treatment,non_event,79.1428398950967,70.13824546425799,3361
2020,2011,control,hss_event,85.38257717180862,65.68910018546704,1835
2020,2011,control,non_event,80.88859284568001,67.31455432437387,6925
2020,2011,treatment,hss_event,82.02866432955052,63.08178870593495,1835
2020,2011,treatment,non_event,83.44973739777939,70.5257353171889,6925
2020,2012,control,hss_event,78.54043287031428,59.15828282492502,1568
2020,2012,control,non_event,81.38388072742556,63.77265049242921,7216
2020,2012,treatment,hss_event,71.86616433097389,54.57183020455496,1568
2020,2012,treatment,non_event,84.20331110200388,67.30408007078319,7216
2020,2013,control,hss_event,89.35674128116761,68.5459697139871,1922
2020,2013,control,non_event,83.33106693064686,67.7615254750305,6725
2020,2013,treatment,hss_event,91.35417731019704,70.25586112158355,1922
2020,2013,treatment,non_event,82.76662912822552,67.09472083563256,6725
2020,2014,control,hss_event,86.17068088158648,58.26354364359154,2120
2020,2014,control,non_event,72.3892899267498,58.18536531839026,6640
2020,2014,treatment,hss_event,87.06488822283771,58.22435058017947,2120
2020,2014,treatment,non_event,73.74011756846093,60.090094568643224,6640
2020,2015,control,hss_event,94.99954039543911,74.24527559301173,1836
2020,2015,control,non_event,84.75558008860365,69.01219766970523,6924
2020,2015,treatment,hss_event,95.98524096298851,74.7495864502485,1836
2020,2015,treatment,non_event,85.62735274502711,69.5146469830227,6924
